uni,score,year
York St John University,76.69,2022
Hull and York Medical School,82.54,2022
Brighton and Sussex Medical School,95.19,2022
Academy for Contemporary Circus and Physical Theatre,100.0,2017
The Academy of Contemporary Music Limited,67.0,2017
Access to Music Limited,37.0,2017
Accrington and Rossendale College,90.0,2017
Activate Learning,85.0,2017
All Nations Christian College Limited,100.0,2017
ALRA,93.0,2017
Alton College,79.0,2017
Anglia Ruskin University,83.0,2017
Anglo-European College of Chiropractic,100.0,2017
Architectural Association (Incorporated),91.0,2017
Arden University Limited,83.0,2017
Arts Educational Schools(The),97.0,2017
The Arts University Bournemouth,81.0,2017
"University of the Arts, London",73.0,2017
Ashton Sixth Form College,95.0,2017
Askham Bryan College,82.0,2017
Assemblies of God Incorporated,95.0,2017
Association of British Dispensing Opticians(The),95.0,2017
Aston University,88.0,2017
Aylesbury College,74.0,2017
Backstage Academy (training) Ltd,70.0,2017
Barking and Dagenham College,53.0,2017
Barnet & Southgate College,95.0,2017
Barnfield College,80.0,2017
Barnsley College,69.0,2017
The University of Bath,88.0,2017
Bath College,74.0,2017
Bath Spa University,80.0,2017
BCNO Limited,71.0,2017
Bedford College,79.0,2017
University of Bedfordshire,82.0,2017
Bellbys Educational Services Limited,93.0,2017
The Berkshire College of Agriculture (BCA),74.0,2017
BIMM Limited,63.0,2017
Birkbeck College,84.0,2017
The University of Birmingham,89.0,2017
University College Birmingham,81.0,2017
Birmingham City University,82.0,2017
Birmingham Community Healthcare NHS Foundation Trust,75.0,2017
Birmingham Metropolitan College,71.0,2017
Bishop Auckland College,84.0,2017
Bishop Burton College,72.0,2017
Bishop Grosseteste University,85.0,2017
Blackburn College,81.0,2017
Blackpool and the Fylde College,85.0,2017
BMC (Brooksby Melton College),70.0,2017
The University of Bolton,85.0,2017
Bolton College,87.0,2017
Boston College,100.0,2017
The Bournemouth and Poole College,63.0,2017
Bournemouth University,81.0,2017
Bournville College,90.0,2017
BPP University Limited,78.0,2017
The University of Bradford,81.0,2017
Bradford College,81.0,2017
Bridgwater and Taunton College,81.0,2017
University of Brighton,80.0,2017
Brit College Limited,89.0,2017
Bromley College of Further and Higher Education,70.0,2017
Brooklands College,63.0,2017
Brunel University London,84.0,2017
The University of Buckingham,94.0,2017
Buckinghamshire New University,79.0,2017
Burton and South Derbyshire College,73.0,2017
Bury College,84.0,2017
Calderdale College,80.0,2017
Callington Community College,95.0,2017
Cambridge Arts & Sciences Limited,96.0,2017
Cambridge Regional College,67.0,2017
The Cambridge Theological Federation,83.0,2017
Canterbury Christ Church University,82.0,2017
Canterbury College,88.0,2017
Cardinal Newman College,100.0,2017
Central Bedfordshire College,92.0,2017
University of Central Lancashire,82.0,2017
University of Chester,86.0,2017
Chesterfield College,79.0,2017
The University of Chichester,87.0,2017
Chichester College,85.0,2017
The Chicken Shed Theatre Trust,75.0,2017
Cirencester College,100.0,2017
City and Guilds of London Art School Limited,73.0,2017
City College Norwich,70.0,2017
City College Plymouth,79.0,2017
City of Bristol College,80.0,2017
The City of Liverpool College,78.0,2017
City of Sunderland College,79.0,2017
City of Wolverhampton College,92.0,2017
"City, University of London",82.0,2017
Cleveland College of Art and Design,91.0,2017
Cliff College,82.0,2017
Colchester Institute,71.0,2017
The Conservatoire for Dance and Drama,87.0,2017
Cornwall College,81.0,2017
Court Theatre Training Company Ltd,64.0,2017
Coventry College,86.0,2017
Coventry University,87.0,2017
Craven College,78.0,2017
University for the Creative Arts,79.0,2017
Croydon College,72.0,2017
The University of Cumbria,75.0,2017
CWR,93.0,2017
Darlington College,62.0,2017
De Montfort University,85.0,2017
Deep Blue Sound Limited,80.0,2017
University of Derby,85.0,2017
Derby College,57.0,2017
Doreen Bird College of Performing Arts Ltd.,77.0,2017
Dudley College,97.0,2017
University of Durham,89.0,2017
"Ealing, Hammersmith & West London College",59.0,2017
The University of East Anglia,90.0,2017
East Coast College,82.0,2017
East Durham College,97.0,2017
East End Computing & Business College Limited,85.0,2017
East Kent College,82.0,2017
University of East London,84.0,2017
East Riding College,78.0,2017
East Surrey College,79.0,2017
Eastleigh College,88.0,2017
Easton and Otley College,83.0,2017
Edge Hill University,84.0,2017
Edge Hotel School Limited,88.0,2017
Elim Foursquare Gospel Alliance,100.0,2017
Empire College London Limited,100.0,2017
The University of Essex,88.0,2017
University College of Estate Management,76.0,2017
University of Exeter,88.0,2017
Exeter College,87.0,2017
Fairfield School of Business Ltd,78.0,2017
Falmouth University,83.0,2017
Farnborough College of Technology,84.0,2017
ForMission Ltd,74.0,2017
Furness College,66.0,2017
Futureworks Training Limited,91.0,2017
Gateshead College,72.0,2017
University of Gloucestershire,84.0,2017
Gloucestershire College,88.0,2017
Goldsmiths' College,80.0,2017
Greater Brighton Metropolitan College,80.0,2017
University of Greenwich,79.0,2017
Grimsby Institute of Further and Higher Education,85.0,2017
Economic Solutions Limited,82.0,2017
GSM London Limited,78.0,2017
Guildford College of Further and Higher Education,83.0,2017
Guildhall School of Music & Drama,90.0,2017
Hadlow College,81.0,2017
Halesowen College,96.0,2017
Harlow College,77.0,2017
Harper Adams University,93.0,2017
Hartlepool College of Further Education,85.0,2017
Hartpury College,86.0,2017
Havant and South Downs College,63.0,2017
Havering College of Further and Higher Education,55.0,2017
HCUC,86.0,2017
Heart of Worcestershire College,71.0,2017
Hereford College of Arts,90.0,2017
Herefordshire and Ludlow College,90.0,2017
Hertford Regional College,83.0,2017
University of Hertfordshire,83.0,2017
Heythrop College,85.0,2017
Highbury College Portsmouth,89.0,2017
Holy Cross College,83.0,2017
Hopwood Hall College,92.0,2017
The University of Huddersfield,87.0,2017
Hugh Baird College,82.0,2017
The University of Hull,84.0,2017
Hull College,79.0,2017
ICMP Management Limited,67.0,2017
ICON College of Technology and Management Ltd,90.0,2017
Imperial College London,84.0,2017
"Institute for Children, Youth and Mission",78.0,2017
The College of Integrated Chinese Medicine,91.0,2017
Inter-ED UK Limited,81.0,2017
Isle of Wight College,77.0,2017
Istituto Marangoni Limited,59.0,2017
Italia Conti Academy of Theatre Arts Limited(The),85.0,2017
Kaplan Open Learning (Essex) Limited,93.0,2017
University of Keele,88.0,2017
Kendal College,95.0,2017
Kensington and Chelsea College,65.0,2017
Kensington Education Foundation Limited,90.0,2017
The University of Kent,87.0,2017
The Kingham Hill Trust,95.0,2017
Kingston College,82.0,2017
Kingston Maurward College,36.0,2017
Kingston University,80.0,2017
Kirklees College,75.0,2017
Lakes College West Cumbria,88.0,2017
The University of Lancaster,91.0,2017
Lancaster and Morecambe College,73.0,2017
The University of Law Limited,85.0,2017
The University of Leeds,89.0,2017
Leeds College of Art,91.0,2017
Leeds Beckett University,82.0,2017
Leeds City College,74.0,2017
Leeds College of Building,62.0,2017
Leeds Trinity University,90.0,2017
The University of Leicester,86.0,2017
Leicester College,80.0,2017
University of Lincoln,86.0,2017
Lincoln College,94.0,2017
Liverpool Hope University,90.0,2017
The Liverpool Institute for Performing Arts,90.0,2017
Liverpool John Moores University,86.0,2017
Liverpool Media Academy Limited,65.0,2017
London Bridge Business Academy Limited,100.0,2017
London Churchill College Ltd,88.0,2017
London College of Creative Media Limited,95.0,2017
University of London Institute in Paris,64.0,2017
The London Institute of Banking & Finance,92.0,2017
London Metropolitan University,78.0,2017
London School of Business and Management Limited,95.0,2017
The London School of Economics and Political Science,74.0,2017
London School of Management Education Limited,91.0,2017
London School of Science & Technology Limited,81.0,2017
London School of Theology,96.0,2017
London South Bank University,81.0,2017
London Studio Centre Limited,94.0,2017
Loughborough College,78.0,2017
Loughborough University,92.0,2017
LTE Group,73.0,2017
Luther King House Educational Trust,100.0,2017
Macclesfield College,73.0,2017
Manchester Metropolitan University,83.0,2017
The Markfield Institute of Higher Education,75.0,2017
Matrix College of Counselling and Psychotherapy Ltd,100.0,2017
Matrix Training Consultancy Limited,100.0,2017
Met Film School Limited,45.0,2017
The Metanoia Institute,79.0,2017
Middlesbrough College,88.0,2017
Middlesex University,80.0,2017
Mid-Kent College,80.0,2017
Milton Keynes College,68.0,2017
Mont Rose College of Management and Sciences Limited,98.0,2017
Moorlands College,92.0,2017
Moulton College,59.0,2017
Mountview Academy of Theatre Arts Limited,89.0,2017
Myerscough College,85.0,2017
NCG,74.0,2017
Nelson College London Limited,97.0,2017
New City College,79.0,2017
New College Durham,82.0,2017
New College Stamford,83.0,2017
New College Swindon,80.0,2017
Newbury College,100.0,2017
Newcastle and Stafford Colleges Group,83.0,2017
University of Newcastle upon Tyne,88.0,2017
Newham Training and Education Centre,100.0,2017
Newman University,81.0,2017
Nexus Institute of Creative Arts,91.0,2017
Norland College Limited,89.0,2017
North East Surrey College of Technology (NESCOT),80.0,2017
North Hertfordshire College,85.0,2017
North Kent College,65.0,2017
North Lindsey College,78.0,2017
North Shropshire College,83.0,2017
North Warwickshire and South Leicestershire College,56.0,2017
The University of Northampton,83.0,2017
Northampton College,75.0,2017
Northern College of Acupuncture,95.0,2017
Northumberland College,84.0,2017
University of Northumbria at Newcastle,85.0,2017
Norwich University of the Arts,82.0,2017
The University of Nottingham,86.0,2017
Nottingham College,81.0,2017
Nottingham Trent University,89.0,2017
Nova Centric Limited,82.0,2017
Oaklands College,84.0,2017
Oasis Charitable Trust,86.0,2017
The Oldham College,83.0,2017
The Open University,86.0,2017
Osteopathic Education and Research Limited,92.0,2017
The College of Osteopaths,70.0,2017
University College of Osteopathy (The),82.0,2017
Oxford Brookes University,83.0,2017
Pearson College Limited,81.0,2017
Pen Green Centre,100.0,2017
Peter Symonds College,93.0,2017
Peterborough Regional College,17.0,2017
Petroc,84.0,2017
Platform One (IOW) Limited,90.0,2017
Plumpton College,51.0,2017
University of Plymouth,85.0,2017
Plymouth College of Art,83.0,2017
Point Blank Limited,100.0,2017
University of Portsmouth,88.0,2017
Preston College,67.0,2017
Professional Golfer's Association Limited(The),78.0,2017
Queen Mary University of London,83.0,2017
The Queen's Foundation for Ecumenical Theological Education,86.0,2017
Ravensbourne,74.0,2017
The University of Reading,84.0,2017
Reaseheath College,77.0,2017
Redcar & Cleveland College,78.0,2017
Regent's University London,83.0,2017
"Richmond, the American International University in London, Inc.",78.0,2017
Riverside College,85.0,2017
RNN Group,91.0,2017
Roehampton University,83.0,2017
Rose Bruford College of Theatre and Performance,86.0,2017
Royal Academy of Dance,52.0,2017
The Royal Academy of Music,93.0,2017
The Royal Agricultural University,87.0,2017
Royal College of Music,86.0,2017
"Royal Holloway, University of London",88.0,2017
Royal Northern College of Music,89.0,2017
The Royal Veterinary College,94.0,2017
RTC Education Ltd,90.0,2017
Runshaw College,86.0,2017
Ruskin College,100.0,2017
SAE Education Limited,48.0,2017
The University of Salford,84.0,2017
Salford City College,64.0,2017
The Salvation Army,96.0,2017
Seevic College,100.0,2017
Selby College,64.0,2017
The Sheffield College,86.0,2017
Sheffield Hallam University,85.0,2017
Sherwood Counselling & Psychotherapy Limited,100.0,2017
Shrewsbury Colleges Group,79.0,2017
Slough Borough Council,100.0,2017
Solihull College and University Centre,88.0,2017
Somerset County Council,100.0,2017
South & City College Birmingham,89.0,2017
South Cheshire College,75.0,2017
South Devon College,92.0,2017
South Essex College of Further and Higher Education,78.0,2017
South Gloucestershire and Stroud College,75.0,2017
South Staffordshire College,92.0,2017
University of Southampton,83.0,2017
Southampton City College,100.0,2017
Southampton Solent University,81.0,2017
Southport College,75.0,2017
Sparsholt College,84.0,2017
Spirit SSR Limited,77.0,2017
University Campus St Albans Limited,73.0,2017
St Helens College,85.0,2017
University of St Mark & St John,84.0,2017
"St Mary's University, Twickenham",85.0,2017
St Mellitus College Trust,87.0,2017
"St. George's, University of London",82.0,2017
St. Patrick's International College Limited,80.0,2017
St. Piran's School (GB) Limited,82.0,2017
Staffordshire University,85.0,2017
Stanmore College,100.0,2017
Stephenson College,43.0,2017
Stockport College,81.0,2017
Stockton Riverside College,84.0,2017
Stoke On Trent College,90.0,2017
Stratford College London Limited,98.0,2017
Stratford-upon-Avon College,42.0,2017
Strode College,79.0,2017
University of Suffolk,77.0,2017
University of Sunderland,84.0,2017
The University of Surrey,87.0,2017
University of Sussex,88.0,2017
Sussex Coast College Hastings,98.0,2017
Sussex Downs College,77.0,2017
Swindon College,83.0,2017
Tameside College,61.0,2017
Teesside University,82.0,2017
Telford College of Arts & Technology,65.0,2017
Tertiary Education Services Limited,92.0,2017
Tor Bridge High,70.0,2017
Tottenham Hotspur Foundation,96.0,2017
Trafford College,76.0,2017
Trinity College (Bristol) Limited,100.0,2017
Trinity Laban Conservatoire of Music and Dance,83.0,2017
Truro and Penwith College,85.0,2017
Tyne Coast College,78.0,2017
UCFB College of Football Business Limited,33.0,2017
UCK Limited,86.0,2017
UK College of Business and Computing Ltd,93.0,2017
City of Westminster College,79.0,2017
Wakefield College,91.0,2017
Warrington Collegiate,78.0,2017
The University of Warwick,86.0,2017
Warwickshire College,65.0,2017
West Herts College,83.0,2017
West Kent and Ashford College,93.0,2017
The University of West London,85.0,2017
West London College of Business & Management Sciences Limited,81.0,2017
West Nottinghamshire College,77.0,2017
"University of the West of England, Bristol",88.0,2017
West Suffolk College,71.0,2017
West Thames College,62.0,2017
The University of Westminster,80.0,2017
Weston College of Further and Higher Education,83.0,2017
Weymouth College,86.0,2017
Whitefield Academy Trust,89.0,2017
Wigan and Leigh College,78.0,2017
Wiltshire College,71.0,2017
University of Winchester,85.0,2017
East Berkshire College,85.0,2017
Wirral Metropolitan College,69.0,2017
The WKCIC Group,74.0,2017
University of Wolverhampton,82.0,2017
University of Worcester,84.0,2017
Writtle University College,71.0,2017
Yeovil College,51.0,2017
YMCA George Williams Company,83.0,2017
University of York,88.0,2017
York College,70.0,2017
York St John University,82.0,2017
Medway School of Pharmacy,86.0,2017
Hull and York Medical School,84.0,2017
Brighton and Sussex Medical School,99.0,2017
"College of Agriculture, Food and Rural Enterprise",73.0,2017
Belfast Bible College,60.0,2017
Queen's University of Belfast,87.0,2017
St Mary's University College,92.0,2017
Stranmillis University College,90.0,2017
University of Ulster,83.0,2017
University of Aberdeen,87.0,2017
University of Abertay Dundee,84.0,2017
City of Glasgow College,57.0,2017
University of Dundee,90.0,2017
University of Edinburgh,83.0,2017
Edinburgh College,88.0,2017
Edinburgh Napier University,80.0,2017
University of Glasgow,89.0,2017
Glasgow Caledonian University,81.0,2017
Glasgow School of Art.,71.0,2017
Heriot-Watt University,83.0,2017
University of the Highlands and Islands,79.0,2017
The Interactive Design Institute Limited,77.0,2017
"Queen Margaret University, Edinburgh",77.0,2017
The Robert Gordon University,86.0,2017
SRUC,77.0,2017
University of St Andrews,94.0,2017
University of Stirling,86.0,2017
University of Strathclyde,87.0,2017
West Lothian College,100.0,2017
University of the West of Scotland,83.0,2017
Aberystwyth University,91.0,2017
Bangor University,90.0,2017
Bridgend College,73.0,2017
Cardiff and Vale College,65.0,2017
Cardiff Metropolitan University,84.0,2017
Cardiff University,84.0,2017
Gower College Swansea,77.0,2017
Grwp Llandrillo Menai,89.0,2017
Coleg Gwent,86.0,2017
Merthyr Tydfil College Limited,87.0,2017
Neath Port Talbot College,64.0,2017
Pembrokeshire College,100.0,2017
Royal Welsh College of Music and Drama,86.0,2017
University of South Wales,78.0,2017
Swansea University,88.0,2017
University of Wales Trinity Saint David,85.0,2017
Wrexham GlyndÅµr University,82.0,2017
Coleg y Cymoedd,81.0,2017
University of Aberdeen,86.69,2021
Abertay University,89.15,2021
Aberystwyth University,89.87,2021
Abingdon and Witney College,93.48,2021
ACM Guildford Limited,60.32,2021
Activate Learning,73.2,2021
AECC University College,81.16,2021
ALRA,90.38,2021
Anglia Ruskin University Higher Education Corporation,81.54,2021
Architectural Association (Incorporated),82.42,2021
Arden University Limited,80.68,2021
Arts Educational Schools(the),81.13,2021
"Arts University Bournemouth, the",87.84,2021
"University of the Arts, London",70.79,2021
Ashton Sixth Form College,95.0,2021
Askham Bryan College,77.08,2021
Association of British Dispensing Opticians(The),83.33,2021
Aston University,83.37,2021
Aylesbury College,76.92,2021
Bangor University,84.9,2021
Barnet & Southgate College,92.96,2021
Barnsley College,88.39,2021
Basingstoke College of Technology,100.0,2021
The University of Bath,88.31,2021
Bath College,90.0,2021
Bath Spa University,78.06,2021
BCNO Limited,61.64,2021
Bedford College,54.17,2021
University of Bedfordshire,74.02,2021
Belfast Metropolitan College,85.52,2021
"Berkshire College of Agriculture, the (BCA)",100.0,2021
BIMM Limited,71.15,2021
Birkbeck College,82.58,2021
The University of Birmingham,82.75,2021
University College Birmingham,83.67,2021
Birmingham City University,80.31,2021
Birmingham Community Healthcare NHS Foundation Trust,90.48,2021
Birmingham Metropolitan College,66.18,2021
Bishop Auckland College,91.3,2021
Bishop Burton College,85.07,2021
Bishop Grosseteste University,85.3,2021
Blackburn College,85.45,2021
Blackpool and the Fylde College,84.03,2021
Bloomsbury Institute Limited,88.79,2021
The University of Bolton,84.01,2021
Boston College,95.65,2021
"Bournemouth and Poole College, The",84.85,2021
Bournemouth University,80.19,2021
The University of Bradford,77.21,2021
Bradford College,74.83,2021
Bridgend College,86.27,2021
Bridgwater and Taunton College,83.0,2021
University of Brighton,75.62,2021
University of Bristol,81.72,2021
Brockenhurst College,86.96,2021
Brooklands College,95.45,2021
Brunel University London,77.58,2021
The University of Buckingham,87.88,2021
Buckinghamshire New University,83.48,2021
Burnley College,85.71,2021
Burton and South Derbyshire College,86.49,2021
Bury College,65.12,2021
Coleg Cambria,57.69,2021
Cambridge Arts & Sciences Limited,92.31,2021
Cambridge Regional College,100.0,2021
Canterbury Christ Church University,77.4,2021
Capel Manor College,93.75,2021
Cardiff and Vale College,76.64,2021
Cardiff Metropolitan University,84.61,2021
Cardiff University,81.43,2021
Central Bedfordshire College,68.97,2021
University of Central Lancashire,76.34,2021
University Centre Peterborough,88.57,2021
Cheshire College South and West,80.0,2021
University of Chester,86.36,2021
Chesterfield College,76.32,2021
The University of Chichester,84.81,2021
Chichester College Group,85.96,2021
The Chicken Shed Theatre Trust,73.08,2021
City and Guilds of London Art School Limited,96.43,2021
City College Norwich,63.91,2021
City College Plymouth,87.07,2021
City of Bristol College,80.26,2021
The City of Liverpool College,97.87,2021
City of Sunderland College,77.4,2021
City of Wolverhampton College,90.91,2021
"City, University of London",74.2,2021
Cliff College,69.23,2021
Colchester Institute,79.05,2021
Community Music Limited,86.36,2021
The Conservatoire for Dance and Drama,92.31,2021
Cornwall College,74.58,2021
Court Theatre Training Company Ltd,73.33,2021
Courtauld Institute of Art,75.0,2021
Coventry College,88.24,2021
Coventry University,82.53,2021
Craven College,80.0,2021
University for the Creative Arts,80.44,2021
Croydon College,72.73,2021
The University of Cumbria,79.78,2021
CWR,100.0,2021
Darlington College,90.0,2021
David Game College Ltd,82.94,2021
DCG,78.95,2021
De Montfort University,78.64,2021
Deep Blue Sound Limited,80.43,2021
University of Derby,84.73,2021
DN Colleges Group,84.45,2021
Doreen Bird College of Performing Arts Ltd.,75.45,2021
University of Dundee,87.61,2021
University of Durham,87.31,2021
The University of East Anglia,86.27,2021
East Coast College,73.75,2021
East Durham College,76.47,2021
University of East London,77.69,2021
East Sussex College Group,65.69,2021
Edge Hill University,77.8,2021
University of Edinburgh,77.57,2021
Edinburgh Napier University,85.71,2021
The Education Training Collective,88.0,2021
The Edward James Foundation Limited,93.33,2021
EKC Group,81.25,2021
Elim Foursquare Gospel Alliance,85.71,2021
Empire College London Limited,100.0,2021
The University of Essex,82.21,2021
University College of Estate Management,83.44,2021
University of Exeter,85.74,2021
Exeter College,92.65,2021
Fairfield School of Business Ltd,79.71,2021
Falmouth University,81.09,2021
Farnborough College of Technology,83.33,2021
Fashion Retail Academy,79.17,2021
The Film Education Training Trust Limited,76.92,2021
ForMission Ltd,95.65,2021
Futureworks Training Limited,69.15,2021
Gateshead College,73.53,2021
University of Glasgow,87.08,2021
Glasgow Caledonian University,85.23,2021
Glasgow School of Art,57.66,2021
University of Gloucestershire,80.67,2021
Goldsmiths' College,66.94,2021
Gower College Swansea,80.0,2021
Grantham College,100.0,2021
Greater Brighton Metropolitan College,75.21,2021
University of Greenwich,78.86,2021
The Growth Company Limited,81.82,2021
Grwp Llandrillo Menai,85.26,2021
Guildhall School of Music & Drama,89.78,2021
Coleg Gwent,88.02,2021
Hadlow College,71.43,2021
Halesowen College,75.61,2021
Hammond School Limited (The),73.91,2021
Harper Adams University,90.41,2021
Hartpury University,90.21,2021
Havant and South Downs College,80.49,2021
Heart of Worcestershire College,73.02,2021
Heart of Yorkshire Education Group,81.33,2021
Hereford College of Arts,86.76,2021
"Herefordshire, Ludlow, and North Shropshire College",83.33,2021
Heriot-Watt University,84.35,2021
Hertford Regional College,88.68,2021
University of Hertfordshire,82.0,2021
University of the Highlands and Islands,82.22,2021
Hopwood Hall College,84.62,2021
The University of Huddersfield,78.13,2021
Hugh Baird College,83.52,2021
The University of Hull,84.18,2021
Hull College,65.94,2021
Hy Education Limited,95.0,2021
ICMP Management Limited,68.02,2021
ICON College of Technology and Management Ltd,89.33,2021
"Imperial College of Science, Technology and Medicine",81.37,2021
"Institute for Children, Youth and Mission",92.31,2021
The College of Integrated Chinese Medicine,85.19,2021
Inter-ED UK Limited,86.05,2021
International College of Oriental Medicine (U.K.) Limited(The),100.0,2021
Isle of Wight College,84.21,2021
Istituto Marangoni Limited,75.59,2021
Italia Conti Academy of Theatre Arts Limited(The),89.47,2021
Kaplan Open Learning (Essex) Limited,89.38,2021
University of Keele,85.07,2021
Kensington Education Foundation Limited,84.35,2021
The University of Kent,82.6,2021
The Kingham Hill Trust,100.0,2021
King's College London,77.5,2021
Kingston Maurward College,85.0,2021
Kingston University,80.78,2021
Lamda Limited,95.65,2021
The University of Lancaster,86.71,2021
The University of Law Limited,90.73,2021
LCCM AU UK Limited,86.49,2021
The University of Leeds,82.37,2021
Leeds Arts University,82.83,2021
Leeds Beckett University,84.8,2021
Leeds Conservatoire,84.27,2021
Leeds Trinity University,81.44,2021
The University of Leicester,82.6,2021
Leicester College,81.33,2021
University of Lincoln,87.19,2021
Lincoln College,80.65,2021
The University of Liverpool,84.14,2021
Liverpool Hope University,84.11,2021
The Liverpool Institute for Performing Arts,82.87,2021
Liverpool John Moores University,83.8,2021
Liverpool Media Academy Limited,62.5,2021
University College London,80.61,2021
London Churchill College Ltd,94.35,2021
University of London Institute in Paris,88.24,2021
The London Institute of Banking & Finance,78.26,2021
London Metropolitan University,79.97,2021
The London School of Economics and Political Science,83.72,2021
London School of Management Education Limited,87.5,2021
London School of Science & Technology Limited,90.0,2021
London School of Theology,84.78,2021
London South Bank University,79.54,2021
London South East Colleges,73.68,2021
London Studio Centre Limited,87.38,2021
Loughborough College,83.21,2021
Loughborough University,88.65,2021
LTE Group,82.68,2021
Luminate Education Group,88.1,2021
The University of Manchester,81.12,2021
Manchester Metropolitan University,83.22,2021
The Markfield Institute of Higher Education,80.77,2021
Matrix College of Counselling and Psychotherapy Ltd,94.12,2021
Met Film School Limited,75.36,2021
The Metanoia Institute,70.97,2021
Middlesbrough College,93.67,2021
Middlesex University,77.04,2021
Mont Rose College of Management and Sciences Limited,92.52,2021
Moorlands College,100.0,2021
Morley College Limited,78.05,2021
Moulton College,46.15,2021
Mountview Academy of Theatre Arts Limited,89.41,2021
Myerscough College,77.5,2021
N D A Foundation,80.0,2021
The National Childbirth Trust,76.19,2021
Nazarene Theological College,95.0,2021
NCG,75.92,2021
NCH at Northeastern Limited,95.56,2021
Grwp Colegau NPTC Group of Colleges,85.71,2021
Nelson and Colne College,66.15,2021
Nelson College London Limited,95.87,2021
New City College,61.22,2021
New College Durham,87.01,2021
New College Swindon,81.9,2021
Newcastle and Stafford Colleges Group,82.89,2021
University of Newcastle upon Tyne,82.12,2021
Newham Training and Education Centre,100.0,2021
Newman University,86.72,2021
Nexus Institute of Creative Arts,80.0,2021
Norland College Limited,94.57,2021
North East Surrey College of Technology (NESCOT),85.71,2021
North Hertfordshire College,30.77,2021
North Warwickshire and South Leicestershire College,90.0,2021
North West Regional College,88.27,2021
"University of Northampton, The",79.41,2021
Northern College of Acupuncture,86.36,2021
Northern Regional College,84.21,2021
The Northern School of Art,85.42,2021
University of Northumbria at Newcastle,81.03,2021
Norwich University of the Arts,80.71,2021
Nottingham College,80.0,2021
Nottingham Trent University,87.13,2021
"University of Nottingham, The",81.91,2021
Nova Centric Limited,90.67,2021
Oaklands College,81.25,2021
The Oldham College,88.98,2021
School of Oriental and African Studies,77.45,2021
The College of Osteopaths,78.57,2021
University College of Osteopathy (The),64.06,2021
Oxford Brookes University,81.28,2021
Pearson College Limited,61.8,2021
Peter Symonds College,95.35,2021
Petroc,81.68,2021
Platform One (IOW) Limited,95.0,2021
Plumpton College,58.7,2021
University of Plymouth,84.92,2021
Plymouth College of Art,76.25,2021
Point Blank Limited,84.31,2021
University of Portsmouth,86.23,2021
QAHE (UR) Limited,71.4,2021
"Queen Margaret University, Edinburgh",82.59,2021
Queen Mary University of London,80.36,2021
Queen's University of Belfast,80.98,2021
Ravensbourne University London,67.46,2021
The University of Reading,83.64,2021
Reaseheath College,71.43,2021
Regent's University London Limited,81.3,2021
"Richmond, the American International University in London, Inc.",82.72,2021
Riverside College,89.02,2021
Robert Gordon University,89.96,2021
Roehampton University,82.26,2021
Rose Bruford College of Theatre and Performance,60.71,2021
Royal Academy of Dance,73.53,2021
Royal Academy of Dramatic Art,93.62,2021
The Royal Academy of Music,88.71,2021
The Royal Agricultural University,83.27,2021
Royal College of Music,84.0,2021
Royal Conservatoire of Scotland,85.71,2021
Royal Holloway and Bedford New College,87.15,2021
Royal Northern College of Music,81.25,2021
Royal School of Needlework(The),83.33,2021
The Royal Veterinary College,88.01,2021
Royal Welsh College of Music and Drama,73.74,2021
RTC Education Ltd,76.79,2021
SAE Education Limited,81.31,2021
"University of Salford, The",79.12,2021
Salford City College,54.05,2021
The Salvation Army,89.47,2021
Sandwell College,83.33,2021
The University of Sheffield,85.28,2021
"Sheffield College, The",67.33,2021
Sheffield Hallam University,82.46,2021
The Sherwood Psychotherapy Training Institute Limited,84.0,2021
Shockout Arts Ltd,73.33,2021
Shrewsbury Colleges Group,74.07,2021
The SMB Group,82.22,2021
"Solent University, Southampton",82.75,2021
Solihull College and University Centre,74.47,2021
Somerset County Council,100.0,2021
South & City College Birmingham,71.43,2021
South Devon College,82.58,2021
South Eastern Regional College,95.33,2021
South Essex College of Further and Higher Education,82.24,2021
South Gloucestershire and Stroud College,93.42,2021
South Staffordshire College,80.95,2021
South Thames Colleges Group,76.56,2021
University of South Wales,81.28,2021
South West College,87.58,2021
University of Southampton,84.91,2021
Southampton City College,89.66,2021
Southern Regional College,81.46,2021
Southport College,70.37,2021
Sparsholt College,70.0,2021
Spirit SSR Limited,70.59,2021
SRUC,71.84,2021
University of St Andrews,92.73,2021
St Helens College,72.46,2021
University of St Mark & St John,79.94,2021
"St Mary's University, Twickenham",85.9,2021
St Mellitus College Trust,93.41,2021
St. George's Hospital Medical School,77.81,2021
St. Piran's School (GB) Limited,54.17,2021
Staffordshire University,84.76,2021
University of Stirling,86.85,2021
Stoke on Trent College,91.67,2021
Stranmillis University College,90.72,2021
University of Strathclyde,86.36,2021
Strode College,77.14,2021
University of Suffolk,75.97,2021
University of Sunderland,82.34,2021
The University of Surrey,79.23,2021
University of Sussex,81.0,2021
Swansea University,88.87,2021
TEC Partnership,84.86,2021
Teesside University,81.65,2021
Telford College,93.75,2021
The Trafford College Group,89.66,2021
Trinity College (Bristol) Limited,100.0,2021
Trinity Laban Conservatoire of Music and Dance,81.02,2021
Truro and Penwith College,83.49,2021
Tyne Coast College,80.49,2021
UCFB College of Football Business Limited,67.75,2021
UCK Limited,96.23,2021
UK College of Business and Computing Ltd,82.66,2021
University of Ulster,83.36,2021
Unified Seevic Palmer's College,74.07,2021
United Colleges Group,86.36,2021
